Place id,Governorate,District,"Location name
in English","Location name
in Arabic ",Latitude,Longitude,Households,Individuals,Host Families,Hotel/Motel,Rented houses,Habitual residnece (Habitable),Habitual residence (Uninhabitable),Informal settlements,"Unfinished/
Abandoned building",Non-residential structure,Religious Building,School Building,Other formal settlements/ collective centres,Other shelters,Unknown shelter type,Anbar,Babylon,Baghdad,Basrah,Dahuk,Diyala,Erbil,Kerbala,Kirkuk,Missan,Muthanna,Najaf,Ninewa,Qadissiya,Salah al-Din,Sulaymaniyah,Thi-Qar,Wassit,Pre-June14 Period,June-July14 Period,August14 Period,Post September14 Period,Post April15 Period,Post Mar16 Period,Post 17 October 16 Period,17-Jul,19-Jan,20-Jan,Open Street Map,Google Map,Bing Map
33731,Ninewa,Hatra,Um alshaten Village,قرية ام الشطن,35.876708,42.384193,25,150.00,,,,150,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,150,,,,Maplink1,Maplink2,Maplink3
33973,Ninewa,Hatra,albaeiran,قرية البعيران,35.86099,42.94107,12,72.00,,,,72,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,72,,,,Maplink1,Maplink2,Maplink3
33981,Ninewa,Hatra,alsafawiu,قرية الصفاوي,35.792684,42.684222,93,558.00,,,,540,18,,,,,,,,,,,,,,,,,,,,,558,,,,,,,,,,,,558,,,,Maplink1,Maplink2,Maplink3
18014,Ninewa,Hatra,Tal faris shimale village,قرية تل فارس شمالي,36.027479,42.564219,131,786.00,,,,768,18,,,,,,,,,,,,,,,,,,,,,786,,,,,,,,,,,,786,,,,Maplink1,Maplink2,Maplink3
33391,Ninewa,Hatra,Medan kli Gharbia village,قرية ميدان قلي غربية,36.008613,42.408457,8,48.00,,,,48,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,48,,,,Maplink1,Maplink2,Maplink3
33864,Ninewa,Hatra,Altaaysh alsharqah Village,قرية الطايش الشرقية,35.934324,42.884028,51,306.00,,,,306,,,,,,,,,,,,,,,,,,,,,,306,,,,,,,,,,,306,,,,,Maplink1,Maplink2,Maplink3
33388,Ninewa,Hatra,Mlehat village,قرية مليحات,36.057197,42.57307244,115,690.00,,,,672,18,,,,,,,,,,,,,,,,,,,,,690,,,,,,,,,,,,690,,,,Maplink1,Maplink2,Maplink3
33868,Ninewa,Hatra,jadalah altharthar Village,قرية جدالة الثرثار,35.778297,43.056351,40,240.00,,,,240,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,240,,,,,Maplink1,Maplink2,Maplink3
33977,Ninewa,Hatra,Tal eabtah aljanubiuah,قرية تل عبطة الجنوبية ,35.890553,42.604328,60,360.00,,,,360,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,,,360,,,,Maplink1,Maplink2,Maplink3
33232,Ninewa,Hatra,Al-Asraj Al-Sharqiyah Village,قرية الاسرج الشرقية,35.894771,42.733357,12,72.00,,,,72,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,72,,,,Maplink1,Maplink2,Maplink3
33698,Ninewa,Hatra,Aseelah,عسيلة,36.050921,42.38876573,6,36.00,,,,36,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,36,,,,Maplink1,Maplink2,Maplink3
33974,Ninewa,Hatra,Abotank Village,قرية ابو تنك,35.406778,42.625502,10,60.00,,,,60,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,60,,,,Maplink1,Maplink2,Maplink3
33869,Ninewa,Hatra,almaflakat aljanubah Village,قرية مفلكة  الجنوبية ,35.907318,42.67128,35,210.00,,,,210,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,210,,,,Maplink1,Maplink2,Maplink3
33976,Ninewa,Hatra,Tal eujur yaseen,قرية تل عجور ياسين,35.982201,42.45263,38,228.00,,,,228,,,,,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,,228,,,,Maplink1,Maplink2,Maplink3
33115,Ninewa,Hatra,Zaaziaa Village,قرية زعيزيعة,35.81036035,43.02302444,50,300.00,,,,300,,,,,,,,,,,,,,,,,,,,,,240,,60,,,,,,,,,300,,,,,Maplink1,Maplink2,Maplink3
33982,Ninewa,Hatra,Mubahil,قرية مبهل ,35.911,42.311221,90,540.00,,,,540,,,,,,,,,,,,,,,,,,,,,,540,,,,,,,,,,,,540,,,,Maplink1,Maplink2,Maplink3
33866,Ninewa,Hatra,buthah alrakei Village,بوثة الركعي,35.77036,42.94705,25,150.00,,,,150,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,150,,,,,Maplink1,Maplink2,Maplink3
33206,Ninewa,Hatra,Al-maflakah alshemalea Village,قرية المفلكة الشمالية,36.004544,42.662601,20,120.00,,,,120,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,120,,,,Maplink1,Maplink2,Maplink3
33173,Ninewa,Hatra,Al-boughime Village,قرية البوجهيمي,35.654992,42.97119676,5,30.00,,,,30,,,,,,,,,,,,,,,,,,,,,,24,,6,,,,,,,,,30,,,,,Maplink1,Maplink2,Maplink3
23416,Ninewa,Hatra,Al-Salhiya village,قرية الصالحية,36.00728202,42.60485796,40,240.00,,,,210,30,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,240,,,,Maplink1,Maplink2,Maplink3
27271,Ninewa,Hatra,Tal abta,تل عبطة,35.94547,42.562155,"2,400",14400.00,,,,"14,220",180,,,,,,,,,,,,,,,60,,,,,,"14,340",,,,,,,,,,,,"14,400",,,,Maplink1,Maplink2,Maplink3
33638,Ninewa,Hatra,Dhelah Village,قرية دحيله,35.85971,42.30865,30,180.00,,,,180,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,180,,,,Maplink1,Maplink2,Maplink3
33992,Ninewa,Hatra,Alhazimiah algharbiah,قرية الهزيمية الغربية ,35.970436,42.51369,45,270.00,,,,270,,,,,,,,,,,,,,,,,,,,,,270,,,,,,,,,,,,270,,,,Maplink1,Maplink2,Maplink3
33163,Ninewa,Hatra,Al-rogaae Al-shrqia Village,قرية الركعي الشرقية,35.71704819,42.97692022,19,114.00,,,,114,,,,,,,,,,,,,,,,,,,,,,54,,60,,,,,,,,,114,,,,,Maplink1,Maplink2,Maplink3
33867,Ninewa,Hatra,Rakei mawhan Village,قرية ركعي موحان ,35.76069,42.95031,35,210.00,,,,210,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,210,,,,,Maplink1,Maplink2,Maplink3
33979,Ninewa,Hatra,Hamuwd aleabd aleaziz,قرية حمود العبد العزيز,36.01889,42.30915,15,90.00,,,,90,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,90,,,,Maplink1,Maplink2,Maplink3
33736,Ninewa,Hatra,Al faisaliah,قرية الفيصلية ,36.031735,42.510089,20,120.00,,,,120,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,120,,,,Maplink1,Maplink2,Maplink3
33231,Ninewa,Hatra,Tarteea abd alkarem Village,قرية طرطيعة عبدالكريم,35.862017,42.722095,33,198.00,,,,198,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,198,,,,Maplink1,Maplink2,Maplink3
33387,Ninewa,Hatra,Tal faris genobe village,قرية تل فارس جنوبي,35.976573,42.57183503,128,768.00,,,,732,36,,,,,,,,,,,,,,,,,,,,,768,,,,,,,,,,,,768,,,,Maplink1,Maplink2,Maplink3
33968,Ninewa,Hatra,Asedyt al hishash,قرية اسعدية الحشاش,35.729189,42.907672,116,696.00,,,,696,,,,,,,,,,,,,,,,,,,,,,696,,,,,,,,,,,,696,,,,Maplink1,Maplink2,Maplink3
33983,Ninewa,Hatra,Marzuka village,قرية مرزوكة,35.961404,42.297129,10,60.00,,,,60,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,60,,,,Maplink1,Maplink2,Maplink3
